NetID,Name,Expected_Graduation,MajorID
acam3,Allison Campos,2.5,Computer Science + Astronomy
acam4,Ashley Campbell,1.5,Innovation
acame2,Amy Cameron,5.0,Teaching - Middle Grades Education
acampb2,Ashley Campbell,1.0,Sustainability in Food & Environmental Systems
acampbe2,Anthony Campbell,1.0,Journalism
acampbe3,Angela Campbell,4.0,Computer Science + Advertising
acantr2,Andrea Cantrell,1.5,Secondary Education
acar2,Andrew Carter,3.5,Secondary Education
acar3,Ann Carroll,2.0,Physics
acarr2,Alisha Carr,2.5,Computer Science + Physics
acarr3,Andrew Carr,5.0,Neural Engineering
acarril2,Angela Carrillo,3.0,Information Sciences
acart2,Austin Carter,1.0,Dance
acarte2,Amanda Carter,3.5,Computer Science
acas2,Andrew Casey,1.5,Accountancy + Data Science
ach2,Ann Chen,5.0,Computer Science + Animal Sciences
ach3,Andrew Christensen,3.0,Nutrition and Health
achapm2,Allison Chapman,5.0,Hospitality Management
acherry2,Ashley Cherry,4.0,Aerospace Engineering
achris2,Andrew Christian,4.5,Athletic Training
achrist2,Adrienne Christensen,1.5,Supply Chain Management
achu2,Alex Church,3.0,Secondary Education
acla2,Angela Clark,2.5,Computer Science + Advertising
aclar2,Angel Clark,3.5,Accountancy
aclay2,Ashley Clay,1.5,Computer Science + Physics
aclem2,Andrew Clements,4.0,Finance + Data Science
aco2,Amy Cox,3.5,Elementary Education
acole2,Audrey Cole,2.0,Agricultural & Consumer Economics
acolli2,Anna Collins,5.0,Supply Chain Management
acontre2,Ashley Contreras,3.0,Innovation
acoo2,Andre Cook,3.0,Mechanical Engineering
acook2,Anthony Cook,5.0,Computer Science + Advertising
acopela2,Andrew Copeland,4.5,Engineering Technology & Management for Agricultural Systems
acr2,Ashley Craig,4.5,Computer Science + Advertising
acruz2,Angela Cruz,2.0,Marketing
acurry2,Anthony Curry,1.5,Human Development & Family Studies
ada2,Andrea David,2.5,Information Systems
ada3,Anthony David,3.0,Computer Science + Animal Sciences
ada4,Allen Daniel,1.5,Dietetics and Nutrition
adaug2,Autumn Daugherty,1.0,Human Development & Family Studies
adav2,Ashley Davis,3.0,Sustainability in Food & Environmental Systems
adav3,Alyssa Davis,2.0,Advertising
adav4,Andrew Davis,2.0,Plant Biotechnology
adavenp2,Aaron Davenport,2.0,Computer Science + Crop Sciences
adavi2,Andrew Davis,2.5,Nutrition and Health
adavi3,Alison Davis,2.5,Aerospace Engineering
adavi4,Amber Davis,3.0,Computer Science + Bioengineering
ade2,Alexis Delgado,5.0,Computer Science + Music
adea2,Andrew Dean,2.5,Supply Chain Management
adeck2,Aaron Decker,3.0,Hospitality Management
adecker2,Ashley Decker,3.0,Computer Science + Crop Sciences
adelgad2,Aaron Delgado,2.5,Finance + Data Science
adiaz2,Allison Diaz,3.0,Biochemistry
adix2,Alexandria Dixon,3.0,Kinesiology
adou2,Alexandria Douglas,3.0,Engineering Mechanics
adudley2,Antonio Dudley,3.0,Agricultural & Biological Engineering
adye2,Anthony Dyer,3.5,Accountancy
aedwar2,Arthur Edwards,4.0,Journalism
aedwar3,Aaron Edwards,4.5,Kinesiology
ael2,Ashley Ellis,4.0,Agronomy
aes2,Anthony Estes,3.5,Media & Cinema Studies
aespar2,Amy Esparza,3.5,Dietetics and Nutrition
aespi2,Angelica Espinoza,3.5,Teaching - Middle Grades Education
aestrad2,Andre Estrada,4.5,Sustainable Design
afarmer2,Annette Farmer,1.0,Nutrition and Health
afe2,Amy Ferguson,2.0,Bioengineering
afer2,Andrea Fernandez,5.0,Agricultural & Consumer Economics
afergu2,Abigail Ferguson,4.5,Special Education
afish2,Aaron Fisher,3.0,Industrial Engineering
afletc2,Amy Fletcher,5.0,Finance
afo2,Andrea Foley,4.0,Supply Chain Management
afo3,Alexis Ford,2.5,Dance
aford2,Amy Ford,2.0,Computer Science + Bioengineering
afoste2,Anna Foster,4.5,Middle Grades Education
afoster2,Amy Foster,2.0,Computer Science + Astronomy
afox2,Adrienne Fox,3.5,Chemistry
afr2,Amy Franklin,3.0,Accountancy + Data Science
afrankl2,Adam Franklin,3.0,Media & Cinema Studies
afrazie2,Aaron Frazier,2.5,Computer Science + Music
afrye2,April Frye,5.0,Accountancy + Data Science
afuller2,Andrew Fuller,5.0,Bioengineering
agall2,Amanda Gallegos,2.0,Civil Engineering
agar2,Amanda Garcia,1.5,Information Sciences + Data Science
agar3,Andrew Garcia,1.5,Nuclear
agar4,Alison Garcia,5.0,Chemistry
agar5,Ashley Garcia,2.0,Human Development & Family Studies
agar6,Austin Gardner,4.5,Chemistry
agarci2,Ashley Garcia,1.5,Supply Chain Management
agardn2,Alejandro Gardner,4.0,Media & Cinema Studies
agarret2,Andrea Garrett,2.0,Agronomy
agi2,Ashley Gibson,5.0,Geology
agil2,April Gill,3.0,Architectural Studies
agl2,Audrey Glass,3.0,Computer Engineering
ago2,Amy Gomez,3.5,Nutrition and Health
agomez2,Angela Gomez,1.5,Information Sciences + Data Science
agonz2,Anna Gonzalez,4.5,Management
agou2,Alan Gould,4.5,Accountancy
agr2,April Gross,2.5,Supply Chain Management
agr3,Adam Griffin,2.5,Special Education
agraham2,Alex Graham,1.5,Journalism
agregor2,Angel Gregory,3.5,Information Sciences + Data Science
aha2,Angela Hall,2.5,Electrical Engineering
aha3,Ashley Hall,2.5,Operations Management
aha4,Alexa Hall,2.5,Civil Engineering
aha5,Alex Hamilton,3.0,Computer Science + Animal Sciences
ahal2,Adam Haley,1.5,Sustainability in Food & Environmental Systems
ahal3,Anthony Hall,3.5,Agricultural & Consumer Economics
ahall2,Amanda Hall,2.5,Finance
ahar2,Alexander Harvey,4.5,Operations Management
aharmo2,Adam Harmon,3.5,Materials Science & Engineering
aharper2,Andrew Harper,2.5,Early Childhood Education
aharr2,Amber Harrell,3.5,Kinesiology
aharr3,Amy Harris,4.5,Accountancy + Data Science
aharri2,Aaron Harris,2.5,Bioengineering
ahartma2,Angela Hartman,1.0,Accountancy + Data Science
ahay2,Ashley Hayes,2.5,Information Sciences + Data Science
ahayes2,Alyssa Hayes,5.0,Strategy
ahe2,Alexander Hess,3.0,Biochemistry
ahe3,Ann Henderson,5.0,Computer Science + Music
ahe4,Amanda Hernandez,1.0,Materials Science & Engineering
ahea2,Ashley Heath,4.0,Materials Science & Engineering
ahea3,Andrea Heath,4.0,Food Science
ahenry2,Alyssa Henry,4.5,Neural Engineering
aher2,Ariel Hernandez,3.5,Human Development & Family Studies
aher3,Aimee Hernandez,5.0,Computer Science + Animal Sciences
aher4,Ashley Hernandez,1.0,Computer Science + Animal Sciences
aher5,Andrea Hernandez,1.5,Nutrition and Health
aherna2,Andrew Hernandez,3.0,Civil Engineering
ahernan2,Angela Hernandez,4.0,Engineering Mechanics
aherre2,Angela Herrera,1.0,Teaching - Middle Grades Education
ahes2,Anna Hess,3.5,Dance
ahick2,Ashley Hickman,1.0,Agricultural & Consumer Economics
ahill2,Anita Hill,3.0,Hospitality Management
ahill3,Alexander Hill,1.0,Teaching - Middle Grades Education
ahines2,Amanda Hines,1.5,Computer Science + Physics
ahint2,Ashley Hinton,4.5,Food Science
ahobb2,Adam Hobbs,1.5,Physics
ahoffma2,Angela Hoffman,2.5,Chemical Engineering
ahol2,Andrew Holmes,5.0,Supply Chain Management
ahol3,Alexandra Holland,4.5,Accountancy + Data Science
ahort2,Alyssa Horton,3.0,Neural Engineering
ahorto2,Albert Horton,4.5,Strategy
ahu2,Alex Hull,3.0,Elementary Education
ahuff2,Andrea Huff,1.0,Computer Engineering
ahuff3,Alicia Huffman,2.5,Information Sciences
ahughes2,Austin Hughes,1.0,Industrial Engineering
ahunt2,Andrew Hunt,2.5,Food Science
ahunt3,Alexis Hunt,3.5,Dance
ajackso2,Austin Jackson,2.5,Sustainable Design
ajames2,Angela James,1.5,Special Education
ajenni2,Anne Jennings,1.0,Accountancy + Data Science
ajimen2,Alexis Jimenez,2.0,Dance
ajo2,Andre Johnson,1.0,Mechanical Engineering
ajo3,Amanda Joseph,3.5,Learning & Education Studies
ajoh2,Antonio Johnson,4.5,Industrial Engineering
ajohn2,Angela Johnson,2.0,Chemical Engineering
ajohns2,Andrew Johnson,5.0,Computer Science + Music
ajohnso2,Amanda Johnson,2.5,Supply Chain Management
ajohnso3,Alicia Johnson,3.0,Human Development & Family Studies
ajohnso4,Adam Johnson,3.0,Athletic Training
ajone3,Ann Jones,2.0,Innovation
ajone4,Ariel Jones,1.0,Advertising
ajones2,Andre Jones,1.5,Teaching - Middle Grades Education
ajones3,Amy Jones,2.5,Information Systems
ajones4,Albert Jones,4.0,Nutrition and Health
ajones5,Anthony Jones,3.5,Early Childhood Education
ajones6,Allison Jones,3.5,Geology
ajuar2,Amy Juarez,1.5,Sustainability in Food & Environmental Systems
akais2,Amy Kaiser,4.0,Teaching - Middle Grades Education
akel2,Alexandra Kelly,3.5,Media & Cinema Studies
akel3,Aaron Kelly,1.5,Finance
akenne2,Andrew Kennedy,1.5,Bioengineering
akenned2,Alexander Kennedy,2.5,Dietetics and Nutrition
akirby2,Anna Kirby,4.0,Innovation
akline2,Antonio Kline,5.0,Geology
aknig2,Alex Knight,3.5,Dance
ala2,Amy Lawrence,4.0,Industrial Engineering
alars2,Ashley Larson,3.5,Dance
alarso2,Alan Larson,2.0,Supply Chain Management
alarson2,Amanda Larson,3.5,Supply Chain Management
alaw2,Angela Lawrence,1.0,Hospitality Management
ale2,Alan Lee,4.5,Neural Engineering
ale3,Alicia Lewis,4.0,Nutrition and Health
ale4,Amy Lee,1.0,Computer Engineering
alee2,Amy Lee,1.5,Management
alee3,Ann Lee,5.0,Finance + Data Science
alee4,Andrew Lee,3.0,Agricultural & Consumer Economics
ali2,Anna Li,3.5,Information Sciences + Data Science
alloy2,Andrew Lloyd,1.0,Agricultural & Consumer Economics
alo2,Angela Love,2.5,Chemical Engineering
alo3,Andrew Lopez,4.5,Accountancy + Data Science
alon2,Amanda Long,2.0,Computer Science + Bioengineering
alop2,Amber Lopez,3.5,Teaching - Middle Grades Education
alop3,Amy Lopez,2.0,Environmental Engineering
alope2,Allen Lopez,1.5,Hospitality Management
alope3,Ashley Lopez,2.0,Journalism
alopez2,Ashley Lopez,4.5,Dance
aloza2,Ann Lozano,3.5,Finance
alun2,Alison Luna,1.0,Kinesiology
alynch2,Anthony Lynch,1.5,Secondary Education
alynn2,Alyssa Lynn,5.0,Human Development & Family Studies
ama2,Alan Martinez,4.0,Aerospace Engineering
ama3,Andrew Marshall,5.0,Computer Science + Advertising
ama4,Anthony Martin,3.0,Kinesiology
amadden2,Andrew Madden,2.0,Geology
amalo2,Ashley Malone,3.0,Information Sciences + Data Science
amann2,Ashley Mann,5.0,Agricultural & Consumer Economics
amar2,Ashley Martin,2.0,Industrial Engineering
amart2,Albert Martinez,2.5,Computer Science
amart3,Amanda Martinez,4.5,Computer Science + Advertising
amartin2,Austin Martinez,1.0,Engineering Mechanics
amas2,Ann Mason,3.5,Computer Science + Bioengineering
amathi2,Aaron Mathis,2.0,Learning & Education Studies
amax2,Audrey Maxwell,4.0,Elementary Education
amay2,Alyssa May,4.0,Dietetics and Nutrition
amc2,Ashlee Mcbride,3.0,Civil Engineering
amc3,Ashley Mccoy,2.0,Secondary Education
amcco2,Annette Mccoy,1.5,Computer Engineering
amccorm2,Allison Mccormick,4.5,Environmental Engineering
amcda2,Anne Mcdaniel,4.0,Nutrition and Health
ame2,Anna Melendez,5.0,Computer Science + Astronomy
ameji2,Aaron Mejia,2.5,Chemistry
amejia2,Anthony Mejia,5.0,Nuclear
amel2,Anthony Melton,1.0,Special Education
ameyer2,Albert Meyer,3.5,Chemistry
ami2,Aaron Mitchell,1.5,Computer Science + Crop Sciences
ami3,Adam Mills,4.0,Chemical Engineering
ami4,Amy Miller,1.5,Physics
amil2,Albert Miller,5.0,Middle Grades Education
amil3,Ashley Miller,4.5,Nutrition and Health
amill2,Austin Miller,1.0,Engineering Technology & Management for Agricultural Systems
amiller2,Anthony Miller,5.0,Advertising
amir2,Alexis Miranda,5.0,Industrial Engineering
amo2,Angela Morrow,1.0,Computer Science
amo3,Ann Moore,4.5,Early Childhood Education
amoo2,Anthony Moore,2.5,Supply Chain Management
amoo3,Anna Moon,3.5,Innovation
amor2,Angela Morris,3.5,Physics
amora2,Alicia Morales,1.5,Secondary Education
amoran2,Amy Moran,3.0,Supply Chain Management
amorg2,Andrew Morgan,2.5,Operations Management
amorri2,Angela Morrison,2.0,Accountancy + Data Science
amu2,Ana Murray,2.5,Information Systems
amuelle2,Allen Mueller,5.0,Agricultural & Biological Engineering
amull2,Allen Mullen,2.5,Nuclear
ana2,Adriana Navarro,4.0,Computer Science + Animal Sciences
ane2,Andrew Nelson,4.5,Information Sciences + Data Science
ane3,Alexander Nelson,3.5,Bioengineering
ane4,Alyssa Newman,4.0,Media & Cinema Studies
anels2,Alexandra Nelson,1.5,Neural Engineering
anewm2,Anthony Newman,1.0,Middle Grades Education
anewma2,Amanda Newman,4.0,Finance + Data Science
ang2,Amanda Nguyen,3.0,Agricultural & Biological Engineering
angu2,Adrian Nguyen,2.0,Hospitality Management
anguye2,Amanda Nguyen,3.5,Computer Science + Animal Sciences
anguye3,Anthony Nguyen,1.0,Sustainability in Food & Environmental Systems
anic2,Angela Nichols,4.0,Dietetics and Nutrition
anoble2,Amy Noble,3.5,Finance
aols2,Angela Olson,1.5,Neural Engineering
aolson2,Anthony Olson,2.0,Computer Science + Astronomy
aone2,Anthony Oneal,3.5,Media & Cinema Studies
aorr2,Alexandra Orr,5.0,Geology
aos2,Alyssa Osborne,1.0,Athletic Training
apa2,Amanda Patterson,4.5,Agricultural & Biological Engineering
apage2,Anthony Page,4.5,Geology
apark2,Angie Park,5.0,Computer Science + Astronomy
aparks2,Adam Parks,3.0,Sustainability in Food & Environmental Systems
apat2,Austin Patel,3.0,Special Education
apayne2,Ashley Payne,1.5,Hospitality Management
apayne3,Andrew Payne,2.0,Computer Engineering
ape2,Adrian Perkins,2.0,Journalism
aperr2,Andrea Perry,1.5,Mechanical Engineering
aperr3,Alyssa Perry,2.5,Computer Science + Advertising
apeter2,Ashley Peterson,3.5,Hospitality Management
aphil2,Aaron Phillips,1.0,Finance + Data Science
apo2,Amanda Potts,1.0,Aerospace Engineering
apugh2,Alejandro Pugh,4.5,Bioengineering
aram2,Alexander Ramsey,1.0,Agricultural & Biological Engineering
aramir2,Anthony Ramirez,2.5,Engineering Mechanics
arasmu2,Adrian Rasmussen,1.5,Mechanical Engineering
arasmus2,Anthony Rasmussen,3.5,Agronomy
are2,Anthony Reid,5.0,Engineering Technology & Management for Agricultural Systems
aree2,Ashley Reed,4.0,Agronomy
areyno2,Angela Reynolds,4.0,Computer Science + Animal Sciences
ari2,Anthony Rivera,4.0,Information Sciences + Data Science
ari3,Anthony Riggs,1.0,Journalism
aric2,Alyssa Rice,2.5,Strategy
aricha2,Alexis Richardson,1.0,Finance + Data Science
arichar2,Angel Richards,2.0,Management
ariddl2,Amy Riddle,1.0,Information Sciences
ariddl3,Andres Riddle,2.0,Athletic Training
ariley2,Andrew Riley,3.0,Hospitality Management
ariv2,Antonio Rivera,2.5,Middle Grades Education
aro2,Andrew Ross,1.0,Mechanical Engineering
aro3,Aaron Rollins,5.0,Strategy
arob2,Albert Robinson,1.0,Biochemistry
arob3,Andrea Robinson,2.5,Computer Science + Animal Sciences
arobe2,Amber Robertson,3.5,Electrical Engineering
arober2,Ashley Roberts,4.5,Computer Science
arobert2,Adam Roberts,1.0,Information Sciences + Data Science
arobin2,Abigail Robinson,3.5,Early Childhood Education
arod2,Ashley Rodriguez,3.0,Industrial Engineering
arodge2,Andrew Rodgers,3.0,Accountancy
aromero2,Angela Romero,1.0,Computer Science + Astronomy
arosa2,Alexandra Rosales,4.5,Sustainable Design
aru2,Adam Russo,2.5,Industrial Engineering
ary2,Aaron Ryan,1.0,Business + Data Science
asa2,Anna Sanchez,2.5,Operations Management
asan2,Adrienne Sanchez,4.0,Civil Engineering
asanche2,April Sanchez,2.0,Geology
asanche3,Ann Sanchez,3.5,Information Systems
asand2,Amanda Sanders,3.0,Accountancy + Data Science
asande2,Angela Sanders,3.5,Athletic Training
asantia2,Angela Santiago,3.0,Food Science
asch2,Angela Schultz,1.0,Engineering Mechanics
aschm2,Alicia Schmidt,1.5,Elementary Education
ascott2,Alexandra Scott,4.5,Computer Engineering
ash2,Andrew Shah,1.0,Dietetics and Nutrition
ash3,Alyssa Shields,4.5,Media & Cinema Studies
ashaffe2,Ariana Shaffer,2.5,Agricultural & Consumer Economics
asi2,April Silva,3.5,Hospitality Management
asim2,April Simon,3.5,Strategy
asim3,Aaron Sims,4.5,Early Childhood Education
askinne2,Aaron Skinner,1.5,Agricultural & Consumer Economics
asm2,Amber Smith,3.0,Finance + Data Science
asm3,Amber Smith,3.0,Engineering Mechanics
asm4,Abigail Smith,3.0,Human Development & Family Studies
asm5,Alexander Smith,5.0,Neural Engineering
asmi2,Alexander Smith,2.5,Computer Science + Astronomy
asmit2,Andrea Smith,2.5,Computer Science + Physics
asmit3,Andrew Smith,4.5,Learning & Education Studies
asmit4,Ashley Smith,4.5,Computer Science + Crop Sciences
asmith2,Aaron Smith,5.0,Chemistry
asmith3,Ashley Smith,4.0,Learning & Education Studies
asnyd2,Albert Snyder,4.5,Innovation
asolis2,Andrew Solis,5.0,Computer Science + Music
asolomo2,Allen Solomon,5.0,Advertising
asp2,Ashley Spencer,4.5,Electrical Engineering
asparks2,Allison Sparks,2.0,Aerospace Engineering
aspenc2,Alicia Spencer,3.5,Engineering Technology & Management for Agricultural Systems
ast2,Ashley Stephens,1.0,Sustainable Design
ast3,Anne Stevens,5.0,Engineering Technology & Management for Agricultural Systems
asta2,Adam Stanton,3.0,Sustainable Design
astanl2,Adam Stanley,5.0,Hospitality Management
astant2,Amanda Stanton,2.5,Finance
aste2,April Stewart,2.5,Aerospace Engineering
asteve2,Andrew Stevens,1.5,Sustainability in Food & Environmental Systems
astewar2,Alexander Stewart,4.0,Agronomy
astoke2,Alexandra Stokes,4.0,Computer Science + Crop Sciences
aston2,Alex Stone,2.0,Engineering Technology & Management for Agricultural Systems
asua2,Alexander Suarez,4.5,Athletic Training
aswans2,Alexander Swanson,3.5,Agricultural & Biological Engineering
ata2,April Taylor,1.0,Accountancy + Data Science
atayl2,Anne Taylor,1.0,Sustainability in Food & Environmental Systems
atayl3,Anthony Taylor,2.0,Information Sciences + Data Science
atayl4,Amber Taylor,2.5,Sustainable Design
ataylor2,Andrew Taylor,2.0,Special Education
aterr2,Angela Terry,3.5,Systems Engineering & Design
ath3,Ashley Thornton,4.5,Computer Science
ath4,Anthony Thompson,5.0,Food Science
atho2,Andrew Thompson,1.5,Kinesiology
atho3,Andrew Thomas,3.0,Computer Science + Advertising
atho4,Alicia Thompson,5.0,Chemistry
athom2,Alex Thompson,3.0,Accountancy + Data Science
athoma2,Aaron Thomas,5.0,Engineering Mechanics
atownse2,Angela Townsend,1.0,Special Education
atruj2,Amy Trujillo,1.5,Engineering Technology & Management for Agricultural Systems
atur2,Aaron Turner,4.0,Aerospace Engineering
atur3,Amanda Turner,1.5,Computer Science + Music
atyle2,Anthony Tyler,1.5,Computer Science + Music
atyle3,Andrew Tyler,3.5,Journalism
ava2,Autumn Valencia,1.0,Computer Science + Astronomy
ave2,Angela Vega,1.0,Media & Cinema Studies
avi2,Alexander Villarreal,4.0,Aerospace Engineering
awa2,Alexis Watts,2.5,Neural Engineering
awa3,Angela Walker,3.5,Information Systems
awa4,Aaron Wallace,1.0,Engineering Mechanics
awal2,Amy Wallace,4.5,Human Development & Family Studies
awal3,Anne Waller,5.0,Management
awall2,Amber Wall,5.0,Biochemistry
awalle2,Amanda Waller,4.0,Biochemistry
award2,Alyssa Ward,1.0,Geology
awashin2,Ashley Washington,3.5,Special Education
awatk2,Amanda Watkins,1.5,Chemical Engineering
awatk3,Adam Watkins,4.0,Aerospace Engineering
awatso2,Andrew Watson,2.5,Computer Engineering
awe2,Andrew Wells,1.5,Bioengineering
aweave2,Anthony Weaver,3.0,Aerospace Engineering
aweb2,Anthony Webb,1.5,Hospitality Management
aweb3,Allison Webster,2.0,Bioengineering
awells2,Angela Wells,3.0,Nutrition and Health
awest2,Amanda West,2.0,Biochemistry
awhite2,Alexis White,1.5,Computer Science
awhite3,Amber White,1.5,Information Sciences + Data Science
awi2,Aaron Williams,3.0,Kinesiology
awi3,Amy Wilson,3.5,Dietetics and Nutrition
awiley2,Allison Wiley,3.5,Chemical Engineering
awilkin2,Amber Wilkins,5.0,Agricultural & Consumer Economics
awill2,Amanda Williams,4.0,Journalism
awill3,Amber Williams,4.0,Geology
awilli2,Allison Williams,5.0,Mechanical Engineering
awillia2,Adam Williams,1.5,Materials Science & Engineering
awillia3,Anthony Williams,5.0,Dance
awillis2,Anna Willis,5.0,Management
awilson2,April Wilson,3.0,Computer Science + Animal Sciences
awilson3,Amanda Wilson,3.5,Neural Engineering
awise2,Ashley Wise,3.0,Computer Science + Physics
awo2,Adam Wolfe,4.0,Computer Engineering
awol2,Alexander Wolfe,3.5,Biochemistry
awol3,Antonio Wolf,5.0,Human Development & Family Studies
awoods2,Anthony Woods,1.5,Computer Engineering
awr2,Anna Wright,3.0,Agricultural & Consumer Economics
awri2,Amanda Wright,4.5,Computer Science + Crop Sciences
awrig2,Angela Wright,1.5,Agricultural & Consumer Economics
awrigh2,Anthony Wright,5.0,Engineering Technology & Management for Agricultural Systems
ayo2,Alex Young,2.5,Athletic Training
ayo3,Annette Young,2.5,Physics
ayou2,Andrew Young,5.0,Sustainable Design
ayoun2,Adam Young,2.5,Systems Engineering & Design
azim2,Anthony Zimmerman,1.5,Computer Science + Bioengineering
badams2,Bob Adams,2.0,Computer Science + Advertising
badk2,Bethany Adkins,1.0,Chemistry
balexa2,Bethany Alexander,5.0,Dietetics and Nutrition
balvara2,Barbara Alvarado,3.0,Dietetics and Nutrition
balvare2,Brian Alvarez,2.0,Management
band2,Brittney Anderson,1.5,Computer Science + Advertising
bander2,Brian Anderson,3.0,Computer Science + Physics
barella2,Brooke Arellano,4.0,Hospitality Management
barms2,Brian Armstrong,2.5,Marketing
barmstr2,Brittany Armstrong,2.5,Media & Cinema Studies
batkins2,Brittany Atkins,4.5,Information Sciences
bayala2,Brendan Ayala,3.5,Dance
bba2,Brian Bailey,3.0,Food Science
bba3,Brett Baker,3.0,Supply Chain Management
bba4,Brittany Barnes,3.5,Hospitality Management
bbail2,Brent Bailey,2.5,Materials Science & Engineering
bbaile2,Benjamin Bailey,2.5,Aerospace Engineering
bbaldw2,Bobby Baldwin,2.5,Teaching - Middle Grades Education
bbaraj2,Billy Barajas,1.5,Dance
bbarre2,Brittany Barrett,5.0,Geology
bbates2,Brittany Bates,1.5,Computer Science + Physics
bbecke2,Beth Becker,4.5,Learning & Education Studies
bbenja2,Brenda Benjamin,4.0,Teaching - Middle Grades Education
bbenso2,Brenda Benson,1.5,Special Education
bbenson2,Brittany Benson,2.5,Dietetics and Nutrition
bbenton2,Beth Benton,2.0,Elementary Education
bbo2,Bonnie Booth,5.0,Journalism
bbo3,Bradley Bowen,2.0,Computer Science
bbr2,Brian Brown,4.0,Computer Science + Bioengineering
bbra2,Bradley Bradley,5.0,Business + Data Science
bbro2,Brandon Brown,1.5,Systems Engineering & Design
bbro3,Brian Brown,3.5,Kinesiology
bbrow2,Brandon Brown,4.5,Mechanical Engineering
bbrow3,Benjamin Brown,3.5,Civil Engineering
bbrown2,Brian Brown,4.0,Dance
bbrown3,Brandon Brown,2.0,Journalism
bburch2,Brenda Burch,3.5,Nuclear
bburke2,Brett Burke,4.0,Innovation
bca2,Blake Castro,2.0,Accountancy + Data Science
bca3,Brian Carrillo,4.0,Marketing
bcampb2,Bianca Campbell,4.0,Computer Science + Music
bcar2,Brian Carroll,4.0,Marketing
bcarpen2,Brittany Carpenter,5.0,Computer Science + Crop Sciences
bcarril2,Brian Carrillo,2.0,Hospitality Management
bcas2,Brian Castro,5.0,Management
bchang2,Brittany Chang,5.0,Neural Engineering
bcla2,Briana Clark,5.0,Journalism
bco2,Brenda Copeland,5.0,Supply Chain Management
bco3,Brianna Conley,2.0,Agronomy
bco4,Brian Conrad,4.5,Biochemistry
bcoch2,Barry Cochran,1.0,Finance + Data Science
bcook2,Bradley Cooke,2.5,Systems Engineering & Design
bcraig2,Brooke Craig,4.0,Business + Data Science
bcraw2,Benjamin Crawford,3.0,Elementary Education
bcummin2,Brian Cummings,2.0,Information Sciences + Data Science
bda2,Bryce Davis,5.0,Finance
bdavi2,Brian Davis,1.5,Geology
bdavi3,Brandon Davis,3.5,Middle Grades Education
bdelac2,Bonnie Delacruz,1.0,Human Development & Family Studies
bdix2,Brianna Dixon,5.0,Biochemistry
bdo2,Brandy Dominguez,2.5,Engineering Technology & Management for Agricultural Systems
bdo3,Bobby Douglas,4.5,Sustainability in Food & Environmental Systems
bed2,Brent Edwards,4.5,Neural Engineering
bedw2,Bryan Edwards,4.5,Chemical Engineering
bfa2,Brian Farrell,3.5,Middle Grades Education
bferg2,Benjamin Ferguson,4.5,Computer Science + Physics
bfield2,Brandy Fields,1.0,Agricultural & Biological Engineering
bfig2,Bradley Figueroa,1.5,Geology
bfisher2,Brandi Fisher,5.0,Biochemistry
bfitzge2,Brian Fitzgerald,1.0,Mechanical Engineering
